ID,Relationship_Status,Income,Children,Kidhome,Teenhome,Enroll_Age,Wines,Fruits,Meat,Fish,Sweets,Gold,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,NumWebVisitsMonth,Age,Family_Size,CampAccepted,Education,spend_per_unit_income,labels
2125,0,63033.0,0,0,0,9,194,61,480,225,112,30,0,0,0,0,0,0,3,4,8,1,2,63,1,0,1.0,0.01748290577951232,2
8180,0,59354.0,2,1,1,9,233,2,53,3,5,14,0,0,0,0,0,0,6,1,5,3,6,70,3,0,2.0,0.005222899888802777,2
2569,1,17323.0,0,0,0,10,3,14,17,6,1,5,0,0,0,0,0,0,1,0,3,1,8,35,2,0,1.0,0.0026554291981758355,0
2114,0,82800.0,0,0,0,10,1006,22,115,59,68,45,1,0,0,0,1,1,7,6,12,1,3,76,1,2,3.0,0.015881642512077295,1
9736,1,41850.0,2,1,1,10,53,5,19,2,13,4,0,0,0,0,0,0,3,0,3,3,8,42,4,0,1.0,0.0022939068100358423,0
4939,1,37760.0,0,0,0,10,84,5,38,150,12,28,0,0,0,0,0,0,4,1,6,2,7,76,2,0,1.0,0.008395127118644067,0
6565,1,76995.0,1,0,1,9,1012,80,498,0,16,176,1,0,0,0,0,0,11,4,9,2,5,73,3,1,2.0,0.023144360023378142,0
2278,0,33812.0,1,1,0,10,4,17,19,30,24,39,0,0,0,0,0,0,2,1,3,2,6,37,2,0,2.0,0.003933514728498758,2
9360,1,37040.0,0,0,0,10,86,2,73,69,38,48,0,0,0,0,0,0,4,2,5,1,8,40,2,0,1.0,0.008531317494600432,0
5376,1,2447.0,1,1,0,9,1,1,1725,1,1,1,0,0,0,0,0,0,0,28,0,15,1,43,3,0,1.0,0.7069881487535759,0
1993,1,58607.0,1,0,1,10,867,0,86,0,0,19,0,0,0,1,0,0,2,3,9,3,8,73,3,1,3.0,0.01658504956745781,0
4047,1,65324.0,1,0,1,8,384,0,102,21,32,5,0,0,0,0,0,0,6,2,9,3,4,68,3,0,3.0,0.008327720286571551,0
1409,1,40689.0,1,0,1,9,270,3,27,39,6,99,0,0,0,0,0,0,7,1,5,7,8,71,3,0,1.0,0.010912040109120402,0
7892,0,18589.0,0,0,0,9,6,4,25,15,12,13,0,0,0,0,0,0,2,1,3,2,7,53,1,0,1.0,0.004034644144386465,2
2404,1,53359.0,2,1,1,9,173,4,30,3,6,41,0,0,0,0,0,0,5,1,4,4,7,46,4,0,1.0,0.004816432092055698,0
9422,1,38360.0,1,1,0,9,36,2,42,20,21,10,0,0,0,0,0,0,2,1,4,2,3,33,3,0,1.0,0.0034150156412930135,0
1966,1,84618.0,0,0,0,9,684,100,801,21,66,0,0,0,0,0,1,0,6,9,10,1,2,57,2,1,3.0,0.019759389255241202,1
6864,0,10979.0,0,0,0,8,8,4,10,2,2,4,0,0,0,0,0,0,3,0,3,2,5,33,1,0,2.0,0.0027324892977502505,2
3033,1,38620.0,0,0,0,9,112,17,44,34,22,89,0,0,0,0,0,0,2,5,3,1,3,59,2,0,2.0,0.008234075608493008,0
5710,1,40548.0,1,0,1,10,110,0,5,2,0,3,0,0,0,1,0,0,2,1,4,2,5,52,3,1,1.0,0.002959455460195324,0
7373,0,46610.0,2,0,2,10,96,12,96,33,22,43,0,0,0,0,0,1,4,1,6,6,6,70,3,0,3.0,0.00647929628835014,2
8755,1,68657.0,0,0,0,9,482,34,471,119,68,22,0,0,0,0,0,0,3,5,9,1,7,76,2,0,2.0,0.01741992804812328,0
10738,0,49389.0,2,1,1,9,40,0,19,2,1,3,0,0,0,0,0,0,2,0,3,1,7,71,3,0,2.0,0.0013160825284982485,2
4339,1,67353.0,1,0,1,9,702,17,151,0,8,35,0,0,0,0,0,0,5,6,12,5,2,52,3,0,3.0,0.013555446676465785,0
10755,1,23718.0,1,1,0,9,6,3,14,15,7,36,0,0,0,0,0,0,3,1,2,3,7,46,3,0,2.0,0.0034151277510751326,0
8595,0,42429.0,1,0,1,8,55,0,6,2,0,4,0,0,0,0,0,0,1,1,3,2,5,49,2,0,1.0,0.0015791086285323716,2
2968,0,48948.0,0,0,0,9,437,8,206,160,49,42,0,0,1,0,0,1,7,10,5,2,6,79,1,1,3.0,0.01842771921222522,1
8601,1,80011.0,1,0,1,9,421,76,536,82,178,102,0,0,0,0,0,0,8,6,5,2,4,42,3,0,1.0,0.01743510267338241,0
503,1,20559.0,1,1,0,9,13,1,29,3,0,7,0,0,0,0,0,0,2,0,3,2,8,37,3,0,2.0,0.0025779463981711174,0
8430,1,21994.0,1,0,1,10,9,0,6,3,1,3,0,0,0,0,0,0,0,0,3,1,5,65,3,0,1.0,0.0010002728016731835,0
2139,1,7500.0,1,1,0,9,3,1,10,3,2,12,0,0,0,0,0,0,2,0,3,3,5,47,3,0,2.0,0.0041333333333333335,0
1371,0,79941.0,0,0,0,8,123,164,266,227,30,174,0,0,0,0,0,0,2,4,9,1,1,46,1,0,1.0,0.012309077944984426,2
9909,1,7500.0,0,0,0,10,3,18,14,15,22,50,0,0,0,0,0,1,3,1,3,3,9,26,2,0,2.0,0.016266666666666665,0
7286,1,41728.0,1,1,0,9,13,6,15,3,5,13,0,0,0,0,0,0,2,0,2,1,10,54,3,0,1.0,0.0013180598159509202,0
6566,1,72550.0,2,1,1,10,826,50,317,50,38,38,0,0,0,0,0,0,5,2,12,9,8,68,4,0,3.0,0.01818056512749828,0
8614,0,65486.0,1,0,1,8,245,19,125,37,67,14,0,0,0,0,0,0,4,2,10,1,2,65,2,0,1.0,0.0077421128180069024,2
4114,1,79143.0,0,0,0,10,650,37,780,27,167,32,0,0,0,0,0,0,6,9,13,1,3,58,2,0,2.0,0.021391658137801195,0
1331,0,35790.0,1,1,0,9,12,6,20,30,1,3,0,0,0,0,0,0,2,0,3,2,7,45,2,0,1.0,0.00201173512154233,2
2225,0,82582.0,0,0,0,8,510,120,550,156,40,241,1,0,1,0,0,1,4,9,7,1,1,45,1,2,1.0,0.019580538131796277,1
9381,1,66373.0,2,1,1,9,328,9,124,12,24,109,0,0,0,0,0,0,4,2,10,7,3,44,4,0,1.0,0.009130218612990222,0
6260,1,82384.0,0,0,0,10,984,51,432,180,120,190,0,0,0,0,1,1,3,10,13,1,1,67,2,1,2.0,0.023754612546125462,1
10383,0,70287.0,0,0,0,9,295,35,482,121,120,40,0,0,0,0,0,1,5,5,10,1,3,56,1,0,1.0,0.015550528547242022,1
7437,0,27938.0,1,1,0,8,13,0,8,2,1,5,0,0,0,0,0,0,1,0,4,1,3,34,2,0,1.0,0.0010380127425012528,2
8375,1,55954.0,1,0,1,8,447,0,28,0,0,43,0,0,0,0,0,0,8,2,6,3,7,54,3,0,3.0,0.009257604460807091,0
6853,0,75777.0,0,0,0,9,712,26,538,69,13,80,0,0,0,1,1,1,3,6,11,1,1,40,1,2,2.0,0.018976734365308733,1
3076,1,66653.0,2,1,1,10,452,18,102,16,18,6,0,0,0,0,0,0,4,2,12,4,3,47,4,0,1.0,0.009181882285868604,0
1012,0,61823.0,1,0,1,9,523,7,134,37,14,169,0,0,0,0,0,0,8,2,10,4,7,70,2,0,1.0,0.014298885528039726,2
6518,0,67680.0,1,0,1,9,546,0,48,0,6,6,0,0,0,0,0,0,7,3,8,1,5,71,2,0,3.0,0.008953900709219859,2
4137,1,70666.0,0,0,0,9,398,40,367,119,122,30,0,0,0,0,0,0,7,4,4,1,4,74,2,0,1.0,0.0152265587411202,0
8082,1,25721.0,1,1,0,9,1,3,6,3,6,15,0,0,0,0,0,1,1,1,2,1,7,51,3,0,1.0,0.0013218770654329147,0
1386,1,32474.0,2,1,1,8,10,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,7,55,4,0,1.0,0.00033873252448112336,0
9369,0,88194.0,1,0,1,8,688,14,309,201,24,38,1,0,1,0,0,1,11,10,10,1,5,43,2,2,2.0,0.014445427126561898,1
4477,1,69096.0,1,0,1,9,247,49,159,7,82,109,0,0,0,0,0,0,5,2,10,1,4,64,3,0,1.0,0.009450619428042144,0
1357,1,74854.0,3,1,2,9,856,59,487,58,29,73,0,0,0,0,0,0,2,5,5,7,5,52,5,0,1.0,0.020867288321265397,0
1402,1,66991.0,0,0,0,10,496,36,460,189,60,12,0,0,0,0,0,0,4,8,6,3,3,68,2,0,2.0,0.01870400501559911,0
6312,1,65031.0,1,0,1,9,258,107,291,84,37,86,0,0,0,0,0,0,10,3,13,4,7,63,3,0,1.0,0.013270594024388368,0
8132,1,60631.0,2,1,1,9,565,6,65,0,6,19,0,0,0,1,0,0,9,2,8,5,7,47,4,1,3.0,0.01090201382131253,0
1050,1,28332.0,0,0,0,8,14,10,13,4,15,9,0,0,0,0,0,0,2,1,4,1,2,70,2,0,1.0,0.00229422561061697,0
5846,0,40246.0,1,1,0,10,2,1,6,2,1,1,0,0,0,0,0,0,1,0,2,1,6,45,2,0,1.0,0.0003230134671768623,2
1859,1,75251.0,0,0,0,10,721,111,925,97,18,18,0,0,0,0,0,1,7,6,5,1,5,50,2,0,2.0,0.025115945303052452,1
7503,0,75825.0,0,0,0,10,1032,105,779,137,105,51,0,0,1,0,0,1,5,8,9,0,4,46,1,1,1.0,0.02913287174414771,1
10401,1,26326.0,0,0,0,9,1,0,5,0,3,9,0,0,0,0,0,0,0,0,3,1,3,46,2,0,2.0,0.0006837347109321583,0
1618,1,56046.0,0,0,0,9,577,0,64,0,0,51,0,0,1,0,0,1,10,1,8,2,8,57,2,1,1.0,0.012347000678014489,1
3332,0,29760.0,1,1,0,10,64,4,68,7,5,17,0,0,0,0,0,0,3,1,4,4,8,37,2,0,1.0,0.005544354838709678,2
2261,1,26304.0,1,1,0,9,4,1,5,2,0,4,0,0,0,0,0,0,1,0,2,1,7,53,3,0,1.0,0.0006082725060827251,0
5346,1,23559.0,1,1,0,9,25,5,19,7,0,23,0,0,0,0,0,0,3,0,3,3,7,49,3,0,2.0,0.0033532832463177556,0
4119,1,38620.0,0,0,0,9,112,17,44,34,22,89,0,0,0,0,0,0,2,5,3,1,3,59,2,0,2.0,0.008234075608493008,0
535,0,81361.0,0,0,0,8,163,23,424,27,65,76,0,0,0,0,0,0,3,10,13,1,1,35,1,0,1.0,0.009562321013753518,2
5268,1,29440.0,2,1,1,9,17,8,14,10,4,3,0,0,0,0,0,0,1,0,4,2,7,62,4,0,1.0,0.0019021739130434783,0
273,1,36138.0,2,1,1,9,130,0,16,0,0,5,0,0,0,1,0,0,3,1,4,5,7,52,4,1,2.0,0.004178427140406221,0
4452,0,50388.0,1,0,1,8,292,6,37,0,3,34,1,0,0,1,0,1,6,1,6,4,7,65,2,2,1.0,0.007382710169087878,1
8504,1,79593.0,0,0,0,8,350,60,568,110,133,145,0,0,0,0,1,0,5,6,7,1,2,49,2,1,1.0,0.01716231326875479,1
771,1,54178.0,1,0,1,8,135,9,39,4,0,7,0,0,0,0,0,0,2,2,5,1,2,55,3,0,1.0,0.0035807892502491786,0
11178,0,42394.0,1,1,0,8,15,2,10,0,1,4,0,0,0,0,0,0,1,0,3,1,7,50,2,0,2.0,0.0007548237958201632,2
2230,1,23626.0,1,1,0,8,27,2,14,0,0,0,0,0,0,0,0,0,3,1,3,3,5,52,3,0,3.0,0.0018200287818505036,0
7516,1,30096.0,1,1,0,8,5,3,11,12,5,9,0,0,0,0,0,0,2,0,3,1,6,39,3,0,1.0,0.0014952153110047847,0
7247,0,47916.0,1,0,1,10,505,0,26,0,0,75,0,0,0,1,0,0,7,4,6,5,6,62,2,1,1.0,0.012647132481843225,2
11100,0,51813.0,2,1,1,9,51,2,7,0,1,2,0,0,0,0,0,0,2,0,3,2,7,50,3,0,1.0,0.0012159110647906896,2
4646,1,78497.0,0,0,0,9,207,26,447,75,0,223,1,0,0,0,0,0,5,7,12,1,2,71,2,1,2.0,0.012459074869103278,0
3037,1,50150.0,0,0,0,9,135,46,92,65,61,11,0,0,0,0,0,0,5,2,7,2,5,39,2,0,3.0,0.008175473579262214,0
1473,0,47823.0,1,0,1,9,53,1,5,2,1,10,0,0,0,0,0,0,2,0,3,2,8,62,2,0,2.0,0.001505551721974782,2
1016,0,34554.0,1,0,1,8,41,1,6,2,0,5,0,0,0,0,0,0,2,0,3,2,6,63,2,0,3.0,0.0015917115239914338,2
4518,1,85693.0,1,0,1,9,386,172,183,185,132,111,0,0,0,0,0,0,9,5,11,2,5,43,3,0,1.0,0.013641721027388469,0
9370,1,65846.0,0,0,0,9,562,81,276,80,40,81,0,0,0,0,0,0,6,3,6,1,4,77,2,0,3.0,0.017009385535947514,0
8908,1,87195.0,0,0,0,8,217,76,690,50,26,38,0,0,0,0,0,1,3,11,5,1,1,63,2,0,1.0,0.012580996616778485,1
8373,1,24594.0,1,1,0,9,1,3,6,10,0,9,0,0,0,0,0,0,1,0,3,1,5,43,3,0,0.0,0.0011791493860291128,0
7533,1,49096.0,2,1,1,9,144,1,32,2,1,7,0,0,0,0,0,0,4,1,4,4,7,58,4,0,1.0,0.003808864265927978,0
2683,1,52413.0,2,0,2,9,295,106,271,75,98,65,0,0,0,0,0,0,6,4,12,4,6,53,4,0,1.0,0.017362104821322954,0
3629,0,38557.0,1,1,0,10,76,3,31,4,4,27,0,0,0,0,0,0,3,1,3,2,7,44,2,0,1.0,0.0037606660269211816,2
10991,1,89058.0,0,0,0,10,454,194,106,31,22,43,0,0,0,0,0,0,5,4,4,1,2,62,2,0,2.0,0.009544341889555122,0
5077,1,77298.0,1,0,1,9,425,115,292,23,35,79,0,0,0,0,0,0,6,6,11,1,3,43,3,0,1.0,0.012535900023286502,0
7431,0,68126.0,0,0,0,10,1332,17,311,23,51,86,0,0,0,1,0,1,7,4,5,1,9,31,1,1,3.0,0.026715204180489095,1
3267,1,57288.0,1,0,1,8,527,0,21,0,0,60,0,0,0,1,0,0,8,1,8,3,6,59,3,1,2.0,0.010613042871107387,0
999,0,86037.0,0,0,0,9,490,44,125,29,20,22,0,0,0,1,1,1,6,7,11,1,3,31,1,2,1.0,0.008484721689505677,1
9215,1,43974.0,1,1,0,10,378,0,101,0,0,72,0,0,0,0,0,0,6,4,6,5,7,42,3,0,3.0,0.012530131441306226,0
2286,0,50785.0,2,1,1,9,64,1,21,0,1,27,0,0,0,0,0,0,2,1,3,2,6,60,3,0,1.0,0.0022447573102293986,2
1592,1,90765.0,0,0,0,8,547,99,812,151,82,33,1,0,0,0,1,0,4,6,5,0,1,52,2,2,1.0,0.018994105657467085,1
367,1,36550.0,1,1,0,9,47,90,94,123,103,120,0,0,0,0,0,0,9,1,5,5,9,44,3,0,2.0,0.015786593707250343,0
5234,1,30753.0,2,1,1,9,12,5,25,0,9,30,0,0,0,0,0,0,1,1,3,2,5,55,4,0,2.0,0.0026338893766461808,0
9862,1,21918.0,1,1,0,9,1,6,7,11,5,3,0,0,0,0,0,0,2,0,3,2,6,53,3,0,1.0,0.0015056118258965235,0
9805,1,56129.0,1,0,1,9,320,48,133,39,72,48,0,0,0,0,0,0,6,2,10,4,4,69,3,0,2.0,0.01175862744748704,0
6205,0,32557.0,1,1,0,8,34,3,29,0,4,10,0,0,0,0,0,1,2,1,3,3,5,55,2,0,2.0,0.0024572288601529624,2
8442,1,19510.0,2,2,0,9,9,0,7,3,4,7,0,0,0,0,0,0,1,0,3,2,7,37,4,0,2.0,0.0015376729882111738,0
7386,0,30992.0,1,1,0,9,17,0,14,7,3,2,0,0,0,0,0,0,1,0,3,1,7,46,2,0,1.0,0.0013874548270521425,2
7215,0,101970.0,0,0,0,9,722,27,102,44,72,168,1,0,0,1,1,1,6,8,13,0,2,39,1,3,1.0,0.011130724722957733,1
1491,1,71488.0,0,0,0,9,162,33,124,40,28,172,0,0,0,0,0,0,3,4,7,2,1,57,2,0,2.0,0.00781949418084154,0
11071,0,79607.0,0,0,0,9,450,133,951,173,0,216,0,0,0,0,0,1,3,6,6,1,1,38,1,0,1.0,0.024156167171228662,1
3381,1,54348.0,2,1,1,8,70,0,16,0,0,4,0,0,0,0,0,0,2,0,4,2,6,69,4,0,2.0,0.0016559947008169575,0
11051,1,77376.0,2,1,1,8,492,19,110,16,12,12,0,0,0,0,0,0,6,3,10,4,4,66,4,0,3.0,0.008542700578990902,0
8026,1,62998.0,1,0,1,9,120,58,73,65,89,58,0,0,0,0,0,0,5,4,5,5,5,70,3,0,1.0,0.007349439664751262,0
433,0,61331.0,2,1,1,9,534,5,47,0,5,41,0,0,0,0,0,0,11,1,6,5,8,64,3,0,2.0,0.010304739854233585,2
9597,1,73448.0,0,0,0,8,236,106,189,23,41,130,0,0,0,0,0,0,7,2,9,1,4,53,2,0,1.0,0.009870929092691428,0
5290,1,41551.0,2,1,1,9,220,0,33,3,0,23,0,0,0,0,0,0,5,1,5,5,8,58,4,0,3.0,0.006714639840196385,0
1685,1,62981.0,0,0,0,9,796,14,590,38,44,0,0,0,0,1,0,0,4,5,13,1,3,55,2,1,3.0,0.02353090614629809,0
5342,0,9548.0,1,1,0,10,0,1,3,10,6,9,0,0,0,0,0,0,1,0,3,2,8,46,2,0,0.0,0.0030372852953498117,2
9579,1,33762.0,3,2,1,9,53,1,34,2,0,16,0,0,0,0,0,0,2,2,2,3,8,63,5,0,3.0,0.003139624429832356,0
7660,0,35860.0,2,1,1,8,15,0,8,4,2,20,0,0,1,0,0,1,1,1,2,2,5,49,3,1,3.0,0.0013664249860568878,2
1461,0,36921.0,2,1,1,9,17,1,12,3,1,4,0,0,0,0,0,0,2,0,3,2,7,57,3,0,3.0,0.0010292245605481975,2
821,0,92859.0,0,0,0,10,962,61,921,52,61,20,0,0,0,0,0,0,5,4,12,1,2,30,1,0,2.0,0.02236724496279305,2
11084,1,65104.0,1,0,1,9,738,0,232,13,20,50,0,0,0,0,0,1,3,5,7,2,7,46,3,0,2.0,0.016174121405750797,0
8690,1,86111.0,0,0,0,9,399,28,756,36,40,126,0,0,0,0,0,0,5,7,10,1,2,60,2,0,1.0,0.016083891721150607,0
2937,0,68352.0,1,0,1,9,614,16,132,43,33,33,0,0,0,0,0,0,8,5,9,3,6,48,2,0,3.0,0.012742860486891387,2
9701,1,41883.0,1,1,0,9,32,34,41,73,16,116,0,0,0,0,0,0,4,2,3,3,7,34,3,0,1.0,0.007449323114390087,0
9949,1,59809.0,2,0,2,10,598,16,141,32,41,49,0,0,0,0,0,0,3,3,6,3,8,46,4,0,1.0,0.01466334498152452,0
10837,1,23957.0,1,1,0,10,2,1,18,20,11,16,0,0,0,0,0,1,2,0,3,1,6,47,3,0,1.0,0.002838418833743791,0
3120,1,38547.0,1,1,0,9,6,1,10,0,1,4,0,0,0,0,0,0,1,0,2,1,8,41,3,0,1.0,0.0005707318338651516,0
5885,1,35688.0,3,2,1,10,73,3,90,12,1,32,0,0,0,0,0,0,4,1,4,7,8,49,5,0,2.0,0.005912351490697153,0
4050,1,49605.0,0,0,0,8,42,16,29,12,20,8,0,0,0,0,0,0,2,1,4,1,3,56,2,0,2.0,0.0025602257836911603,0
3830,1,59354.0,2,0,2,8,295,21,78,39,13,13,0,0,0,0,0,0,4,4,7,1,3,69,4,0,2.0,0.007733261448259595,0
7987,1,65747.0,1,0,1,8,346,17,48,23,13,13,0,0,0,1,0,0,8,1,6,4,6,53,3,1,1.0,0.006996516951343788,0
7798,1,46344.0,1,0,1,10,233,20,57,8,20,91,0,0,0,0,0,0,7,1,5,4,7,50,3,0,2.0,0.009256861729673745,0
92,0,34176.0,1,1,0,8,5,7,24,19,14,20,0,0,0,0,0,0,3,0,4,4,6,34,2,0,1.0,0.0026041666666666665,2
7055,1,61010.0,1,0,1,10,888,0,57,0,0,76,0,0,0,0,0,0,8,5,11,2,5,70,3,0,3.0,0.016734961481724306,0
10240,1,69372.0,0,0,0,9,997,26,269,34,13,42,0,0,0,1,1,1,10,4,6,1,4,73,2,2,1.0,0.01990716715677795,1
3025,0,49967.0,1,0,1,9,212,6,69,4,12,3,0,0,0,0,0,0,6,1,5,3,7,64,2,0,1.0,0.006124041867632638,2
9283,0,60199.0,3,1,2,9,8,1,7,2,0,0,0,0,0,0,0,0,0,0,3,1,4,44,4,0,1.0,0.0002990082891742388,2
9970,1,55375.0,1,0,1,9,42,11,57,10,28,14,0,0,0,0,0,0,1,1,6,1,2,45,3,0,1.0,0.0029255079006772007,0
2730,0,80317.0,0,0,0,9,536,11,387,149,91,57,0,0,0,0,0,0,3,4,10,1,1,67,1,0,1.0,0.015326767683055891,2
2795,0,30523.0,3,2,1,9,5,0,3,0,0,5,0,0,0,0,0,0,1,0,2,1,7,64,4,0,2.0,0.0004259083314222062,2
9260,1,70356.0,0,0,0,10,1349,16,249,43,16,33,0,0,0,0,0,0,10,6,9,2,6,77,2,0,3.0,0.024248109613963273,0
8182,1,23228.0,1,1,0,8,53,3,49,7,4,5,0,0,0,0,0,0,3,0,4,4,8,38,3,0,1.0,0.0052092302393662825,0
10095,0,74165.0,0,0,0,9,1001,12,240,16,12,12,0,0,0,0,0,0,5,4,10,1,2,47,1,0,3.0,0.0174340996426886,2
8475,1,157243.0,1,0,1,8,20,2,1582,1,2,1,0,0,0,0,0,0,0,22,0,15,0,49,3,0,3.0,0.01022621038774381,0
4370,1,43482.0,3,2,1,9,18,1,32,6,3,28,0,0,0,0,0,0,2,0,4,3,6,56,5,0,1.0,0.002023825950968217,0
10573,0,62551.0,0,0,0,9,125,16,98,134,21,27,0,0,1,0,0,0,6,7,4,1,3,69,1,1,1.0,0.006730507905549072,2
3712,0,52332.0,0,0,0,9,212,5,33,7,0,2,0,0,0,1,0,0,3,2,6,1,4,63,1,1,1.0,0.004949170679507758,2
6637,0,66951.0,0,0,0,9,277,162,305,173,76,124,0,0,0,0,0,0,3,4,7,1,1,34,1,0,1.0,0.016683843407865454,2
3152,1,26091.0,2,1,1,8,15,10,19,8,17,20,0,0,0,0,0,0,2,1,3,3,5,65,4,0,1.0,0.0034111379402859223,0
5610,1,33456.0,2,1,1,8,7,3,10,8,1,7,0,0,0,0,0,0,1,0,3,2,7,57,4,0,1.0,0.0010760401721664275,0
6460,1,28718.0,1,1,0,9,12,4,6,11,8,16,0,0,0,0,0,0,2,0,3,2,8,40,3,0,1.0,0.001984817884253778,0
1349,1,50447.0,2,2,0,8,85,7,24,2,3,27,0,0,0,0,0,0,3,1,3,1,6,52,4,0,1.0,0.0029337720776260235,0
1880,1,53537.0,2,1,1,8,81,0,6,0,0,6,0,0,0,0,0,0,2,1,3,2,5,63,4,0,3.0,0.0017371163867979154,0
641,0,52074.0,1,0,1,8,59,0,12,0,0,48,0,0,1,0,0,0,2,2,2,1,4,55,2,1,1.0,0.0022852095095441103,2
8717,1,80427.0,1,0,1,10,1149,71,449,69,71,26,0,0,0,0,0,0,11,8,8,1,5,47,3,0,3.0,0.022815721088689123,0
10314,1,83837.0,0,0,0,10,847,66,119,86,89,111,1,0,0,1,0,1,9,10,5,1,4,74,2,2,3.0,0.01572098238248029,1
10854,1,38853.0,2,1,1,8,29,0,14,0,0,2,0,0,0,0,0,0,2,0,3,2,7,52,4,0,3.0,0.0011582117211026176,0
10492,1,38285.0,3,2,1,8,2,0,5,2,0,1,0,0,0,0,0,0,0,0,3,1,2,63,5,0,1.0,0.0002611989029646076,0
6935,1,78497.0,0,0,0,9,207,26,447,75,0,223,1,0,0,0,0,0,5,7,12,1,2,71,2,1,2.0,0.012459074869103278,0
7698,1,51650.0,1,0,1,8,152,3,22,2,5,7,0,0,0,0,0,0,4,1,4,1,5,46,3,0,3.0,0.0036979670861568247,0
3559,1,16248.0,1,1,0,8,12,11,10,3,12,9,0,0,0,0,0,0,2,1,3,3,6,34,3,0,2.0,0.0035081240768094534,0
10562,1,66835.0,0,0,0,9,620,26,195,34,17,141,0,0,0,0,0,0,6,4,13,1,2,76,2,0,2.0,0.015455973666492108,0
10796,1,30477.0,1,1,0,8,47,1,6,0,0,12,0,0,0,0,0,0,1,1,3,1,6,38,3,0,2.0,0.002165567477113889,0
2563,1,28249.0,0,0,0,8,1,9,7,2,14,10,0,0,0,0,0,0,2,0,3,1,6,61,2,0,0.0,0.0015221777762044674,0
3518,1,25271.0,1,1,0,10,10,1,18,10,4,7,0,0,0,0,0,0,1,1,2,1,9,39,3,0,1.0,0.001978552490997586,0
5823,0,32303.0,1,0,1,8,35,0,2,0,0,2,0,0,0,0,0,0,1,0,4,2,5,52,2,0,3.0,0.001207318205739405,2
3934,1,61286.0,1,0,1,9,356,0,107,19,9,117,0,0,0,0,0,0,7,1,8,2,5,56,3,0,1.0,0.009920699670397807,0
6982,1,74068.0,0,0,0,9,783,30,537,140,76,15,0,0,0,0,0,0,4,10,9,1,2,46,2,0,1.0,0.021345250310525463,0
6431,1,45759.0,2,1,1,9,42,1,18,3,0,4,0,0,0,0,0,0,2,0,3,2,7,58,4,0,3.0,0.0014860464608055246,0
9733,1,24882.0,1,1,0,10,1,4,10,29,0,36,0,0,1,0,0,0,1,1,2,1,6,44,3,1,0.0,0.0032151756289687324,0
5602,1,66973.0,0,0,0,9,466,22,432,147,113,102,0,0,0,0,0,0,8,7,12,1,3,33,2,0,3.0,0.019142042315560003,0
1324,1,38872.0,1,1,0,9,23,3,21,3,19,22,0,0,0,0,0,0,3,0,3,2,8,34,3,0,1.0,0.0023410166700967277,0
326,1,51148.0,2,1,1,9,235,6,45,8,9,12,0,0,0,0,0,0,5,1,6,4,6,49,4,0,1.0,0.00615859857667944,0
7224,1,31353.0,2,1,1,9,10,0,10,3,1,7,0,0,0,0,0,0,1,1,2,2,8,45,4,0,1.0,0.000988741109303735,0
6999,1,69661.0,0,0,0,8,656,16,106,32,16,8,0,0,0,0,0,0,7,3,12,1,3,42,2,0,2.0,0.01197226568668265,0
